estado;instrucao;categoria_ano;populacao;ano;raca_cor
Acre;Total;branca_2016;97.0;2016;branca
Acre;Total;preta_parda_2016;480.0;2016;preta_parda
Acre;Total;total_2016;582.0;2016;total
Acre;Total;branca_2017;107.0;2017;branca
Acre;Total;preta_parda_2017;488.0;2017;preta_parda
Acre;Total;total_2017;597.0;2017;total
Acre;Total;branca_2018;108.0;2018;branca
Acre;Total;preta_parda_2018;486.0;2018;preta_parda
Acre;Total;total_2018;603.0;2018;total
Acre;Total;branca_2019;105.0;2019;branca
Acre;Total;preta_parda_2019;506.0;2019;preta_parda
Acre;Total;total_2019;620.0;2019;total
Acre;Total;branca_2022;116.0;2022;branca
Acre;Total;preta_parda_2022;524.0;2022;preta_parda
Acre;Total;total_2022;650.0;2022;total
Acre;Total;branca_2023;105.0;2023;branca
Acre;Total;preta_parda_2023;533.0;2023;preta_parda
Acre;Total;total_2023;653.0;2023;total
Alagoas;Total;branca_2016;553.0;2016;branca
Alagoas;Total;preta_parda_2016;1866.0;2016;preta_parda
Alagoas;Total;total_2016;2431.0;2016;total
Alagoas;Total;branca_2017;542.0;2017;branca
Alagoas;Total;preta_parda_2017;1910.0;2017;preta_parda
Alagoas;Total;total_2017;2471.0;2017;total
Alagoas;Total;branca_2018;562.0;2018;branca
Alagoas;Total;preta_parda_2018;1907.0;2018;preta_parda
Alagoas;Total;total_2018;2498.0;2018;total
Alagoas;Total;branca_2019;584.0;2019;branca
Alagoas;Total;preta_parda_2019;1881.0;2019;preta_parda
Alagoas;Total;total_2019;2495.0;2019;total
Alagoas;Total;branca_2022;648.0;2022;branca
Alagoas;Total;preta_parda_2022;1818.0;2022;preta_parda
Alagoas;Total;total_2022;2507.0;2022;total
Alagoas;Total;branca_2023;636.0;2023;branca
Alagoas;Total;preta_parda_2023;1840.0;2023;preta_parda
Alagoas;Total;total_2023;2507.0;2023;total
Amapá;Total;branca_2016;103.0;2016;branca
Amapá;Total;preta_parda_2016;420.0;2016;preta_parda
Amapá;Total;total_2016;528.0;2016;total
Amapá;Total;branca_2017;93.0;2017;branca
Amapá;Total;preta_parda_2017;458.0;2017;preta_parda
Amapá;Total;total_2017;552.0;2017;total
Amapá;Total;branca_2018;92.0;2018;branca
Amapá;Total;preta_parda_2018;461.0;2018;preta_parda
Amapá;Total;total_2018;560.0;2018;total
Amapá;Total;branca_2019;98.0;2019;branca
Amapá;Total;preta_parda_2019;478.0;2019;preta_parda
Amapá;Total;total_2019;580.0;2019;total
Amapá;Total;branca_2022;116.0;2022;branca
Amapá;Total;preta_parda_2022;476.0;2022;preta_parda
Amapá;Total;total_2022;600.0;2022;total
Amapá;Total;branca_2023;100.0;2023;branca
Amapá;Total;preta_parda_2023;507.0;2023;preta_parda
Amapá;Total;total_2023;613.0;2023;total
Amazonas;Total;branca_2016;427.0;2016;branca
Amazonas;Total;preta_parda_2016;2210.0;2016;preta_parda
Amazonas;Total;total_2016;2705.0;2016;total
Amazonas;Total;branca_2017;463.0;2017;branca
Amazonas;Total;preta_parda_2017;2245.0;2017;preta_parda
Amazonas;Total;total_2017;2748.0;2017;total
Amazonas;Total;branca_2018;455.0;2018;branca
Amazonas;Total;preta_parda_2018;2349.0;2018;preta_parda
Amazonas;Total;total_2018;2863.0;2018;total
Amazonas;Total;branca_2019;460.0;2019;branca
Amazonas;Total;preta_parda_2019;2360.0;2019;preta_parda
Amazonas;Total;total_2019;2880.0;2019;total
Amazonas;Total;branca_2022;515.0;2022;branca
Amazonas;Total;preta_parda_2022;2416.0;2022;preta_parda
Amazonas;Total;total_2022;3022.0;2022;total
Amazonas;Total;branca_2023;493.0;2023;branca
Amazonas;Total;preta_parda_2023;2456.0;2023;preta_parda
Amazonas;Total;total_2023;3059.0;2023;total
Bahia;Total;branca_2016;2056.0;2016;branca
Bahia;Total;preta_parda_2016;9122.0;2016;preta_parda
Bahia;Total;total_2016;11256.0;2016;total
Bahia;Total;branca_2017;2073.0;2017;branca
Bahia;Total;preta_parda_2017;9296.0;2017;preta_parda
Bahia;Total;total_2017;11440.0;2017;total
Bahia;Total;branca_2018;2002.0;2018;branca
Bahia;Total;preta_parda_2018;9429.0;2018;preta_parda
Bahia;Total;total_2018;11515.0;2018;total
Bahia;Total;branca_2019;1993.0;2019;branca
Bahia;Total;preta_parda_2019;9507.0;2019;preta_parda
Bahia;Total;total_2019;11641.0;2019;total
Bahia;Total;branca_2022;2128.0;2022;branca
Bahia;Total;preta_parda_2022;9567.0;2022;preta_parda
Bahia;Total;total_2022;11835.0;2022;total
Bahia;Total;branca_2023;2241.0;2023;branca
Bahia;Total;preta_parda_2023;9537.0;2023;preta_parda
Bahia;Total;total_2023;11935.0;2023;total
Ceará;Total;branca_2016;1811.0;2016;branca
Ceará;Total;preta_parda_2016;5044.0;2016;preta_parda
Ceará;Total;total_2016;6901.0;2016;total
Ceará;Total;branca_2017;1848.0;2017;branca
Ceará;Total;preta_parda_2017;5149.0;2017;preta_parda
Ceará;Total;total_2017;7030.0;2017;total
Ceará;Total;branca_2018;1830.0;2018;branca
Ceará;Total;preta_parda_2018;5216.0;2018;preta_parda
Ceará;Total;total_2018;7113.0;2018;total
Ceará;Total;branca_2019;1858.0;2019;branca
Ceará;Total;preta_parda_2019;5208.0;2019;preta_parda
Ceará;Total;total_2019;7119.0;2019;total
Ceará;Total;branca_2022;2054.0;2022;branca
Ceará;Total;preta_parda_2022;5292.0;2022;preta_parda
Ceará;Total;total_2022;7427.0;2022;total
Ceará;Total;branca_2023;1914.0;2023;branca
Ceará;Total;preta_parda_2023;5394.0;2023;preta_parda
Ceará;Total;total_2023;7412.0;2023;total
Distrito Federal;Total;branca_2016;812.0;2016;branca
Distrito Federal;Total;preta_parda_2016;1415.0;2016;preta_parda
Distrito Federal;Total;total_2016;2243.0;2016;total
Distrito Federal;Total;branca_2017;773.0;2017;branca
Distrito Federal;Total;preta_parda_2017;1478.0;2017;preta_parda
Distrito Federal;Total;total_2017;2287.0;2017;total
Distrito Federal;Total;branca_2018;851.0;2018;branca
Distrito Federal;Total;preta_parda_2018;1450.0;2018;preta_parda
Distrito Federal;Total;total_2018;2337.0;2018;total
Distrito Federal;Total;branca_2019;910.0;2019;branca
Distrito Federal;Total;preta_parda_2019;1418.0;2019;preta_parda
Distrito Federal;Total;total_2019;2353.0;2019;total
Distrito Federal;Total;branca_2022;906.0;2022;branca
Distrito Federal;Total;preta_parda_2022;1451.0;2022;preta_parda
Distrito Federal;Total;total_2022;2383.0;2022;total
Distrito Federal;Total;branca_2023;916.0;2023;branca
Distrito Federal;Total;preta_parda_2023;1489.0;2023;preta_parda
Distrito Federal;Total;total_2023;2428.0;2023;total
Espírito Santo;Total;branca_2016;1244.0;2016;branca
Espírito Santo;Total;preta_parda_2016;1826.0;2016;preta_parda
Espírito Santo;Total;total_2016;3083.0;2016;total
Espírito Santo;Total;branca_2017;1214.0;2017;branca
Espírito Santo;Total;preta_parda_2017;1888.0;2017;preta_parda
Espírito Santo;Total;total_2017;3119.0;2017;total
Espírito Santo;Total;branca_2018;1189.0;2018;branca
Espírito Santo;Total;preta_parda_2018;1918.0;2018;preta_parda
Espírito Santo;Total;total_2018;3130.0;2018;total
