estado;ano;pop_total;pop_negra;perc_negra
Acre;2016;582.0;480.0;0.8247422680412371
Acre;2017;597.0;488.0;0.8174204355108877
Acre;2018;603.0;486.0;0.8059701492537313
Acre;2019;620.0;506.0;0.8161290322580645
Acre;2022;650.0;524.0;0.8061538461538461
Acre;2023;653.0;533.0;0.8162327718223583
Alagoas;2016;2431.0;1866.0;0.7675853558206499
Alagoas;2017;2471.0;1910.0;0.7729664103601781
Alagoas;2018;2498.0;1907.0;0.7634107285828663
Alagoas;2019;2495.0;1881.0;0.7539078156312625
Alagoas;2022;2507.0;1818.0;0.7251695253290786
Alagoas;2023;2507.0;1840.0;0.7339449541284404
Amapá;2016;528.0;420.0;0.7954545454545454
Amapá;2017;552.0;458.0;0.8297101449275363
Amapá;2018;560.0;461.0;0.8232142857142857
Amapá;2019;580.0;478.0;0.8241379310344827
Amapá;2022;600.0;476.0;0.7933333333333333
Amapá;2023;613.0;507.0;0.8270799347471451
Amazonas;2016;2705.0;2210.0;0.8170055452865065
Amazonas;2017;2748.0;2245.0;0.8169577874818049
Amazonas;2018;2863.0;2349.0;0.8204680405169402
Amazonas;2019;2880.0;2360.0;0.8194444444444444
Amazonas;2022;3022.0;2416.0;0.799470549305096
Amazonas;2023;3059.0;2456.0;0.8028767571101667
Bahia;2016;11256.0;9122.0;0.8104122245913291
Bahia;2017;11440.0;9296.0;0.8125874125874126
Bahia;2018;11515.0;9429.0;0.8188449848024316
Bahia;2019;11641.0;9507.0;0.8166824156000344
Bahia;2022;11835.0;9567.0;0.8083650190114069
Bahia;2023;11935.0;9537.0;0.7990783410138249
Ceará;2016;6901.0;5044.0;0.7309085639762354
Ceará;2017;7030.0;5149.0;0.7324324324324324
Ceará;2018;7113.0;5216.0;0.7333052158020525
Ceará;2019;7119.0;5208.0;0.7315634218289085
Ceará;2022;7427.0;5292.0;0.7125353440150801
Ceará;2023;7412.0;5394.0;0.7277388019427955
Distrito Federal;2016;2243.0;1415.0;0.6308515381185912
Distrito Federal;2017;2287.0;1478.0;0.6462614779186707
Distrito Federal;2018;2337.0;1450.0;0.6204535729567822
Distrito Federal;2019;2353.0;1418.0;0.6026349341266468
Distrito Federal;2022;2383.0;1451.0;0.6088963491397398
Distrito Federal;2023;2428.0;1489.0;0.6132619439868204
Espírito Santo;2016;3083.0;1826.0;0.5922802465131366
Espírito Santo;2017;3119.0;1888.0;0.6053222186598268
Espírito Santo;2018;3130.0;1918.0;0.612779552715655
Espírito Santo;2019;3137.0;1992.0;0.6350015938795027
Espírito Santo;2022;3269.0;2066.0;0.6319975527684307
Espírito Santo;2023;3284.0;2044.0;0.6224116930572473
Goiás;2016;5269.0;3365.0;0.6386411083697097
Goiás;2017;5375.0;3498.0;0.6507906976744186
Goiás;2018;5455.0;3520.0;0.6452795600366636
Goiás;2019;5536.0;3561.0;0.6432442196531792
Goiás;2022;5798.0;3678.0;0.6343566747154191
Goiás;2023;5856.0;3737.0;0.6381489071038251
Maranhão;2016;4976.0;4002.0;0.8042604501607717
Maranhão;2017;5037.0;4136.0;0.8211236847329759
Maranhão;2018;5133.0;4152.0;0.8088836937463472
Maranhão;2019;5205.0;4199.0;0.8067243035542747
Maranhão;2022;5320.0;4330.0;0.8139097744360902
Maranhão;2023;5402.0;4377.0;0.8102554609403925
Mato Grosso;2016;2577.0;1732.0;0.6720993403181995
Mato Grosso;2017;2607.0;1763.0;0.6762562332182586
Mato Grosso;2018;2697.0;1840.0;0.682239525398591
Mato Grosso;2019;2716.0;1874.0;0.6899852724594993
Mato Grosso;2022;2855.0;1968.0;0.6893169877408056
Mato Grosso;2023;2916.0;1977.0;0.6779835390946503
Mato Grosso do Sul;2016;2028.0;1143.0;0.5636094674556213
Mato Grosso do Sul;2017;2062.0;1135.0;0.5504364694471388
Mato Grosso do Sul;2018;2074.0;1119.0;0.5395371263259402
Mato Grosso do Sul;2019;2100.0;1169.0;0.5566666666666666
Mato Grosso do Sul;2022;2169.0;1221.0;0.5629322268326418
Mato Grosso do Sul;2023;2234.0;1243.0;0.5564010743061772
Minas Gerais;2016;16709.0;9791.0;0.5859716320545814
Minas Gerais;2017;16752.0;10122.0;0.6042263610315186
Minas Gerais;2018;16941.0;10192.0;0.6016173779587982
Minas Gerais;2019;17059.0;10313.0;0.6045489184594642
Minas Gerais;2022;17315.0;10230.0;0.5908172105111176
Minas Gerais;2023;17459.0;10332.0;0.5917864711610058
Paraná;2016;8982.0;2742.0;0.30527722110888444
Paraná;2017;9072.0;2855.0;0.31470458553791886
Paraná;2018;9139.0;2970.0;0.3249808512966408
Paraná;2019;9194.0;3211.0;0.3492495105503589
Paraná;2022;9427.0;3352.0;0.3555744139174711
Paraná;2023;9588.0;3348.0;0.34918648310387984
Paraíba;2016;3068.0;2030.0;0.6616688396349413
Paraíba;2017;3110.0;2120.0;0.6816720257234726
Paraíba;2018;3145.0;2133.0;0.6782193958664547
Paraíba;2019;3172.0;2159.0;0.6806431273644389
Paraíba;2022;3239.0;2216.0;0.684161778326644
Paraíba;2023;3248.0;2172.0;0.6687192118226601
Pará;2016;6033.0;5003.0;0.8292723354881485
Pará;2017;6132.0;5051.0;0.8237116764514025
Pará;2018;6243.0;5143.0;0.8238026589780554
Pará;2019;6290.0;5166.0;0.8213036565977743
