Granularidade Geográfica;Categoria;Filtro;Estado;UF;Localidade;Ano;Valor;Tipo Valor;Indicador
Acre;Localidade;Total;Acre;AC;Estado;2020;247,6;;10.4
Alagoas;Localidade;Total;Alagoas;AL;Estado;2020;240,1;;10.4
Amapá;Localidade;Total;Amapá;AM;Estado;2020;1199,9;;10.4
Amazonas;Localidade;Total;Amazonas;AP;Estado;2020;642;;10.4
Bahia;Localidade;Total;Bahia;BA;Estado;2020;452,6;;10.4
Ceará;Localidade;Total;Ceará;CE;Estado;2020;339,6;;10.4
Distrito Federal;Localidade;Total;Distrito Federal;DF;Estado;2020;1032,7;;10.4
Espírito Santo;Localidade;Total;Espírito Santo;ES;Estado;2020;529,9;;10.4
Goiás;Localidade;Total;Goiás;GO;Estado;2020;645,2;;10.4
Maranhão;Localidade;Total;Maranhão;MA;Estado;2020;145,4;;10.4
Mato Grosso;Localidade;Total;Mato Grosso;MG;Estado;2020;1039,3;;10.4
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;Estado;2020;1055,5;;10.4
Minas Gerais;Localidade;Total;Minas Gerais;MT;Estado;2020;787,7;;10.4
Pará;Localidade;Total;Pará;PA;Estado;2020;446,5;;10.4
Paraíba;Localidade;Total;Paraíba;PB;Estado;2020;41,2;;10.4
Paraná;Localidade;Total;Paraná;PE;Estado;2020;980,9;;10.4
Pernambuco;Localidade;Total;Pernambuco;PI;Estado;2020;243,7;;10.4
Piauí;Localidade;Total;Piauí;PR;Estado;2020;473,4;;10.4
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;Estado;2020;336,3;;10.4
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;Estado;2020;222,7;;10.4
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RO;Estado;2020;1052,3;;10.4
Rondônia;Localidade;Total;Rondônia;RR;Estado;2020;611,1;;10.4
Roraima;Localidade;Total;Roraima;RS;Estado;2020;730,6;;10.4
Santa Catarina;Localidade;Total;Santa Catarina;SC;Estado;2020;1551,6;;10.4
São Paulo;Localidade;Total;São Paulo;SE;Estado;2020;232,6;;10.4
Sergipe;Localidade;Total;Sergipe;SP;Estado;2020;602,6;;10.4
Tocantins;Localidade;Total;Tocantins;TO;Estado;2020;608,2;;10.4
Brasil;Localidade;Total;;;País;2020;530,7;;10.4
Acre;Localidade;Total;Acre;AC;Estado;2021;458,1;;10.4
Alagoas;Localidade;Total;Alagoas;AL;Estado;2021;340,2;;10.4
Amapá;Localidade;Total;Amapá;AM;Estado;2021;1.624,10;;10.4
Amazonas;Localidade;Total;Amazonas;AP;Estado;2021;670,1;;10.4
Bahia;Localidade;Total;Bahia;BA;Estado;2021;544,9;;10.4
Ceará;Localidade;Total;Ceará;CE;Estado;2021;364,6;;10.4
Distrito Federal;Localidade;Total;Distrito Federal;DF;Estado;2021;1.177,50;;10.4
Espírito Santo;Localidade;Total;Espírito Santo;ES;Estado;2021;581;;10.4
Goiás;Localidade;Total;Goiás;GO;Estado;2021;703,6;;10.4
Maranhão;Localidade;Total;Maranhão;MA;Estado;2021;14;;10.4
Mato Grosso;Localidade;Total;Mato Grosso;MG;Estado;2021;1.156,80;;10.4
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;Estado;2021;1.101,00;;10.4
Minas Gerais;Localidade;Total;Minas Gerais;MT;Estado;2021;760,8;;10.4
Pará;Localidade;Total;Pará;PA;Estado;2021;521,2;;10.4
Paraíba;Localidade;Total;Paraíba;PB;Estado;2021;41,2;;10.4
Paraná;Localidade;Total;Paraná;PE;Estado;2021;1.040,30;;10.4
Pernambuco;Localidade;Total;Pernambuco;PI;Estado;2021;265,4;;10.4
Piauí;Localidade;Total;Piauí;PR;Estado;2021;714,1;;10.4
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;Estado;2021;415,1;;10.4
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;Estado;2021;202,2;;10.4
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RO;Estado;2021;1.150,10;;10.4
Rondônia;Localidade;Total;Rondônia;RR;Estado;2021;631,9;;10.4
Roraima;Localidade;Total;Roraima;RS;Estado;2021;921,6;;10.4
Santa Catarina;Localidade;Total;Santa Catarina;SC;Estado;2021;775,6;;10.4
São Paulo;Localidade;Total;São Paulo;SE;Estado;2021;257,9;;10.4
Sergipe;Localidade;Total;Sergipe;SP;Estado;2021;703,6;;10.4
Tocantins;Localidade;Total;Tocantins;TO;Estado;2021;825,7;;10.4
Brasil;Localidade;Total;;;País;2021;551,2;;10.4
Acre;Localidade;Total;Acre;AC;Estado;2022;535,8;;10.4
Alagoas;Localidade;Total;Alagoas;AL;Estado;2022;372,6;;10.4
Amapá;Localidade;Total;Amapá;AM;Estado;2022;1.619,00;;10.4
Amazonas;Localidade;Total;Amazonas;AP;Estado;2022;850;;10.4
Bahia;Localidade;Total;Bahia;BA;Estado;2022;622,7;;10.4
Ceará;Localidade;Total;Ceará;CE;Estado;2022;375;;10.4
Distrito Federal;Localidade;Total;Distrito Federal;DF;Estado;2022;1.236,60;;10.4
Espírito Santo;Localidade;Total;Espírito Santo;ES;Estado;2022;635,2;;10.4
Goiás;Localidade;Total;Goiás;GO;Estado;2022;734,1;;10.4
Maranhão;Localidade;Total;Maranhão;MA;Estado;2022;579,4;;10.4
Mato Grosso;Localidade;Total;Mato Grosso;MG;Estado;2022;1.102,20;;10.4
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;Estado;2022;1.146,20;;10.4
Minas Gerais;Localidade;Total;Minas Gerais;MT;Estado;2022;716,1;;10.4
Pará;Localidade;Total;Pará;PA;Estado;2022;553,3;;10.4
Paraíba;Localidade;Total;Paraíba;PB;Estado;2022;229,4;;10.4
Paraná;Localidade;Total;Paraná;PE;Estado;2022;1.039,00;;10.4
Pernambuco;Localidade;Total;Pernambuco;PI;Estado;2022;270,1;;10.4
Piauí;Localidade;Total;Piauí;PR;Estado;2022;774,3;;10.4
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;Estado;2022;449,3;;10.4
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;Estado;2022;489,9;;10.4
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RO;Estado;2022;1.107,80;;10.4
Rondônia;Localidade;Total;Rondônia;RR;Estado;2022;549,8;;10.4
Roraima;Localidade;Total;Roraima;RS;Estado;2022;1.261,70;;10.4
Santa Catarina;Localidade;Total;Santa Catarina;SC;Estado;2022;1.682,30;;10.4
São Paulo;Localidade;Total;São Paulo;SE;Estado;2022;326,9;;10.4
Sergipe;Localidade;Total;Sergipe;SP;Estado;2022;760;;10.4
Tocantins;Localidade;Total;Tocantins;TO;Estado;2022;838,1;;10.4
Brasil;Localidade;Total;;;País;2022;639,3;;10.4
Acre;Localidade;Total;Acre;AC;Estado;2023;582,9;;10.4
Alagoas;Localidade;Total;Alagoas;AL;Estado;2023;492,3;;10.4
Amapá;Localidade;Total;Amapá;AM;Estado;2023;1.749,80;;10.4
Amazonas;Localidade;Total;Amazonas;AP;Estado;2023;943,2;;10.4
Bahia;Localidade;Total;Bahia;BA;Estado;2023;722,2;;10.4
Ceará;Localidade;Total;Ceará;CE;Estado;2023;401,3;;10.4
Distrito Federal;Localidade;Total;Distrito Federal;DF;Estado;2023;1.399,60;;10.4
