"Tabela 7268 - Pessoas de 14 anos ou mais de idade por cor ou raça e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;"2017";;;"2018";;;"2019";;;"2022";;;"2023"
"Unidade da Federação";"Nível de instrução";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda"
"Rondônia";"Total";"1257";"368";"875";"1285";"375";"901";"1310";"371";"923";"1325";"370";"941";"1372";"400";"959";"1399";"420";"963"
"Rondônia";"Sem instrução e fundamental incompleto ou equivalente";"555";"157";"392";"563";"152";"408";"548";"149";"395";"531";"139";"388";"499";"142";"355";"521";"152";"362"
"Rondônia";"Fundamental completo e médio incompleto ou equivalente";"253";"67";"184";"242";"61";"180";"247";"66";"177";"242";"60";"178";"247";"68";"178";"262";"72";"187"
"Rondônia";"Médio completo ou equivalente e superior incompleto";"343";"102";"237";"360";"108";"249";"389";"106";"275";"415";"117";"294";"443";"121";"316";"441";"121";"317"
"Rondônia";"Superior completo";"107";"43";"63";"119";"54";"64";"127";"50";"76";"137";"54";"80";"182";"69";"110";"175";"75";"97"
"Acre";"Total";"582";"97";"480";"597";"107";"488";"603";"108";"486";"620";"105";"506";"650";"116";"524";"653";"105";"533"
"Acre";"Sem instrução e fundamental incompleto ou equivalente";"244";"34";"208";"244";"36";"206";"246";"37";"205";"242";"29";"208";"230";"31";"195";"234";"29";"198"
"Acre";"Fundamental completo e médio incompleto ou equivalente";"119";"18";"100";"119";"20";"98";"111";"17";"92";"113";"18";"94";"113";"20";"91";"118";"17";"98"
"Acre";"Médio completo ou equivalente e superior incompleto";"163";"30";"132";"174";"32";"140";"178";"36";"140";"186";"36";"148";"208";"39";"166";"216";"37";"175"
"Acre";"Superior completo";"56";"15";"40";"61";"18";"43";"68";"18";"49";"79";"22";"56";"99";"26";"72";"85";"22";"62"
